"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204899_s_at",0.0484901319414393,6.43147412492131,0.31187221414196,0.757219731899626,0.939568491674581,-6.52785208902935
"210866_s_at",-0.026898338117463,4.44903099333587,-0.311827817911308,0.75725315382008,0.939568491674581,-6.52786606340545
"210587_at",-0.11366083229775,10.3773008627205,-0.311790624151242,0.75728115401612,0.939568491674581,-6.52787776917469
"205771_s_at",0.0554311840094623,9.91711157284565,0.311659359885465,0.757379975013982,0.939638767174564,-6.52791907010177
"218329_at",0.0198914776652153,7.36020372015638,0.311563420419373,0.757452204718878,0.939653223650502,-6.52794924551944
"201838_s_at",-0.0231787977617737,5.19767376227871,-0.311531830467044,0.757475988253163,0.939653223650502,-6.52795917934774
"202578_s_at",-0.0558199409585258,7.44583951779836,-0.311320476540081,0.757635119201349,0.939697237228032,-6.52802561630132
"210595_at",0.0157043583572154,4.15395674930145,0.311279175880161,0.757666216230297,0.939697237228032,-6.52803859351013
"209376_x_at",-0.0353443082063851,9.38542915673585,-0.311271788367517,0.757671778647127,0.939697237228032,-6.52804091458308
"214539_at",0.0190868217467886,4.1302776630214,0.311188650354204,0.757734378199979,0.939697237228032,-6.52806703183267
"216588_at",0.0172150304763328,4.06918929917593,0.311092878368235,0.757806492687506,0.939697237228032,-6.52809710936733
"211049_at",0.0242773891263912,5.10253589864244,0.311056506833124,0.757833880342326,0.939697237228032,-6.5281085295677
"211820_x_at",-0.0208288120863287,4.58912422570782,-0.311054957881229,0.757835046705449,0.939697237228032,-6.52810901588948
"211647_x_at",-0.023654618971598,5.1459590972709,-0.311036523622236,0.757848927774782,0.939697237228032,-6.52811480347753
"211001_at",-0.0391938357479882,6.23631312573288,-0.310894984856508,0.757955509748632,0.939743927548175,-6.52815922938847
"209307_at",0.0427222285395956,7.60883953968338,0.31078584002533,0.758037701634016,0.939743927548175,-6.52819347383328
"203213_at",-0.143897459647701,5.73665951805389,-0.310777063612533,0.758044310866075,0.939743927548175,-6.52819622693421
"203905_at",-0.0330110326500215,8.70070963865151,-0.310740937207011,0.758071516686637,0.939743927548175,-6.52820755872809
"217972_at",-0.0340621513880155,9.11693113501853,-0.310661489370121,0.758131347812899,0.939743927548175,-6.52823247457959
"204505_s_at",-0.030196432643506,6.54119590254065,-0.310650412698064,0.758139689630372,0.939743927548175,-6.52823594786188
"207791_s_at",0.0902019442423114,9.79325119078729,0.310501472223806,0.758251859243684,0.93974967050068,-6.52828263877379
"215297_at",-0.0145309658844992,4.33424482665318,-0.310465669483795,0.758278823694148,0.93974967050068,-6.5282938591525
"214530_x_at",0.0247197320550061,4.89246495833211,0.310436985990813,0.758300426582424,0.93974967050068,-6.52830284747133
"200675_at",0.0317980674622902,12.0578097943372,0.310420209599129,0.758313061764161,0.93974967050068,-6.52830810417373
"211080_s_at",0.0177068028675675,4.19652958716011,0.310259394297934,0.758434183648909,0.939795566301003,-6.52835847960067
"213041_s_at",0.0437496680336693,9.26371846779291,0.310259013950124,0.758434470124318,0.939795566301003,-6.52835859871396
"218340_s_at",-0.0799389685096727,6.8205647031102,-0.310090174643055,0.758561642187881,0.939888887519569,-6.52841145968437
"213607_x_at",0.0484209889597516,7.56128863035489,0.31004699832659,0.75859416427714,0.939888887519569,-6.52842497292899
"209611_s_at",0.024763750391851,6.40073002516543,0.309861437176931,0.758733941287632,0.940009788669406,-6.52848302823147
"210513_s_at",-0.0492178649024444,7.72539194634801,-0.309774440981729,0.758799475460881,0.94002762686812,-6.5285102342698
"211570_s_at",0.0179616246902015,4.87530952232269,0.309728644606115,0.758833974568899,0.94002762686812,-6.528524552972
"201260_s_at",0.0414347517092093,9.75886760009753,0.309612397206251,0.758921547768816,0.94002762686812,-6.52856088945537
"51774_s_at",0.0202171783598875,8.86050744064369,0.309579463404889,0.758946358533774,0.94002762686812,-6.52857118140241
"206908_s_at",0.027127099185714,6.14888263182521,0.30954958846011,0.758968865126322,0.94002762686812,-6.52858051650322
"214068_at",0.0206046491261764,4.1907779957346,0.309346531487933,0.759121845829122,0.94002762686812,-6.52864394251544
"211862_x_at",-0.0487514672961344,6.87723428916689,-0.309297827782135,0.759158540091162,0.94002762686812,-6.5286591492481
"213784_at",0.0246767767997733,5.41345137556011,0.309267976026085,0.759181031230891,0.94002762686812,-6.5286684686702
"202410_x_at",0.0408035030347724,6.39009501097195,0.309244598683807,0.75919864451716,0.94002762686812,-6.52867576622045
"216957_at",0.0252882446626925,4.86694101787431,0.309237428780869,0.759204046592609,0.94002762686812,-6.52867800429175
"204670_x_at",0.0547822890815866,10.3662423085034,0.309226197108953,0.759212508982862,0.94002762686812,-6.52868151013272
"216826_at",0.0265208326124338,4.39373743471191,0.30901263352103,0.759373422074091,0.940088026532493,-6.52874814754339
"209521_s_at",0.0271695928741096,4.27450660160447,0.308987617881306,0.759392271245316,0.940088026532493,-6.52875595008221
"203987_at",-0.0613920749692101,6.71024903897626,-0.308871943822608,0.759479433073875,0.940088026532493,-6.52879202140224
"206349_at",-0.0644042184092699,4.12423086772939,-0.308838347915329,0.759504748604541,0.940088026532493,-6.52880249529577
"208471_at",-0.0722867794999189,12.2355477732613,-0.308753892283535,0.759568389667213,0.940088026532493,-6.52882882026711
"209473_at",-0.0363458422754448,7.44232969968303,-0.308704940557944,0.759605277744362,0.940088026532493,-6.528844075332
"204371_s_at",-0.0333344756162699,5.42382564645161,-0.308642350993543,0.75965244359103,0.940088026532493,-6.52886357692151
"208173_at",0.0216186497663324,4.66078785966769,0.308633968563912,0.759658760440342,0.940088026532493,-6.52886618841157
"203822_s_at",0.0266732915433536,8.66526166886499,0.308619732247557,0.759669488712708,0.940088026532493,-6.52887062347952
"217431_x_at",-0.0206968823615172,3.91367830438748,-0.308565863340618,0.759710083944003,0.940088026532493,-6.52888740352708
"220296_at",-0.0249634037533459,6.61605607937128,-0.308545217548153,0.759725642652789,0.940088026532493,-6.528893833875
"203926_x_at",-0.0295880157624424,8.18703963933064,-0.308489423081174,0.759767689980294,0.940088026532493,-6.52891120950593
"207699_at",-0.0249170022445622,6.18066707190195,-0.308429217332995,0.759813062533477,0.940091951905485,-6.52892995540447
"201242_s_at",-0.0486798387356195,11.5021959891946,-0.308341795694789,0.759878947203483,0.940121254406976,-6.52895716887639
"208894_at",-0.0906007888743314,9.81624038210076,-0.308279061215199,0.759926227705592,0.940127537879573,-6.52897669276069
