"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218055_s_at",-0.198755777054992,7.91717183682757,-1.96018813810381,0.0567681017912442,0.287460528239987,-4.68652125037318
"216973_s_at",-0.153388081306001,4.58385375451723,-1.96012295258273,0.0567759799965091,0.287460528239987,-4.68663820897022
"206659_at",-0.204920608139283,5.24576543066744,-1.96005509198292,0.0567841825089304,0.287460528239987,-4.68675996389542
"210057_at",-0.236947748293391,4.72736379019131,-1.96000587097268,0.0567901326383346,0.287460528239987,-4.68684827364684
"213009_s_at",-0.155656481295864,8.43486409921062,-1.95961206450201,0.0568377576817774,0.287636239863007,-4.68755475462797
"215878_at",0.117387960875564,3.80023130883485,1.95914584766677,0.0568941842125556,0.287856402839678,-4.6883909868885
"221010_s_at",-0.154256632642761,6.56258742160183,-1.95891506677662,0.0569221336489246,0.287886511175839,-4.68880486746258
"201273_s_at",-0.122604077850676,13.1212875587488,-1.95888330541326,0.0569259811343345,0.287886511175839,-4.68886182488292
"222101_s_at",-0.299158938920737,7.15998514077384,-1.95873432983406,0.0569440306253256,0.287912430830771,-4.68912897152396
"209198_s_at",-0.10156485899202,3.99139350040862,-1.95854010188673,0.0569675701868555,0.287966090549712,-4.68947724062563
"218994_s_at",-0.137547747733196,4.11663110261835,-1.95807291472502,0.0570242255610288,0.28812739009009,-4.69031483467087
"203198_at",0.394494242134402,7.26327220805195,1.95806366836095,0.0570253473496076,0.28812739009009,-4.69033141030116
"201086_x_at",-0.170560669458977,9.90811505258585,-1.95792532968693,0.0570421331645739,0.288146848187576,-4.69057939743938
"213797_at",0.226685544277182,5.19494606442845,1.95767209459538,0.0570728713838953,0.288236761691008,-4.69103331143873
"212294_at",-0.158576446575006,9.88577454535085,-1.95750092395875,0.057093656532801,0.288276379551498,-4.69134010065229
"213139_at",0.426500624422683,8.15577984607518,1.95724605572661,0.0571246171261759,0.288367345506418,-4.69179686006001
"219112_at",-0.176180597619557,7.18307205658558,-1.95698285422877,0.0571566052121382,0.288373412457601,-4.69226850229365
"209460_at",-0.267498853775962,12.6602120673397,-1.95694505517652,0.0571612003725098,0.288373412457601,-4.69233623176119
